52,Nisha Gupta,1,64
75,Aarav Sharma,5,36
35,Sanya Bose,5,26
86,Isha Khan,5,30
23,Aditya Singh,8,39
91,Aditi Nair,7,31
37,Krishna Verma,6,27
3,Nisha Menon,2,58
36,Kavya Gupta,7,41
49,Vihaan Banerjee,8,41
17,Sai Joshi,10,41
41,Aditi Bose,8,40
61,Riya Rao,2,63
57,Ananya Mishra,10,18
4,Rohan Das,1,42
89,Krishna Khan,8,47
56,Vihaan Mishra,9,31
99,Pooja Sharma,8,29
29,Arjun Khan,6,34
97,Reyansh Gupta,9,42
67,Vivaan Verma,2,58
45,Riya Patel,4,24
77,Nisha Gupta,1,20
84,Arjun Verma,10,45
60,Nisha Reddy,3,26
21,Riya Das,2,40
26,Aarav Menon,3,48
20,Isha Chatterjee,5,37
72,Pooja Verma,5,36
73,Neha Menon,3,30
1,Vihaan Joshi,4,54
9,Ananya Nair,8,50
63,Meera Verma,6,58
2,Karan Mishra,9,65
15,Vivaan Reddy,10,19
70,Pooja Verma,3,55
47,Pooja Joshi,7,46
76,Sai Nair,2,54
44,Vivaan Iyer,3,33
55,Krishna Mishra,1,53
25,Isha Sharma,7,46
46,Kavya Khan,6,43
95,Arjun Gupta,1,38
64,Aditi Bose,3,53
51,Sanya Khan,5,38
66,Isha Patel,3,55
69,Sanya Joshi,5,65
39,Krishna Khan,5,25
80,Aditi Joshi,2,50
28,Aditi Patel,6,58
32,Isha Das,5,41
82,Reyansh Mishra,8,42
54,Karan Banerjee,4,46
65,Sai Bose,10,56
24,Arjun Verma,10,32
12,Aarav Banerjee,10,55
88,Pooja Nair,4,43
5,Arjun Nair,1,26
14,Rohan Kulkarni,2,27
34,Reyansh Patel,1,60
90,Vihaan Singh,10,34
38,Karan Bose,5,50
62,Nisha Das,1,59
6,Pooja Menon,4,38
18,Vihaan Rao,1,26
22,Riya Saxena,5,20
8,Sanya Nair,5,26
19,Karan Rao,8,22
40,Krishna Singh,2,49
79,Sai Chatterjee,4,50
87,Aditya Joshi,1,42
50,Ananya Mishra,5,42
31,Vivaan Sharma,3,43
83,Nisha Verma,5,29
11,Rohan Reddy,1,52
16,Reyansh Singh,7,44
93,Isha Joshi,1,51
96,Riya Patel,6,23
92,Meera Bose,2,62
74,Kavya Khan,9,25
53,Vivaan Rao,4,29
27,Aditya Singh,3,18
68,Vivaan Singh,4,19
43,Pooja Verma,9,30
78,Meera Nair,6,48
33,Sai Jain,6,38
100,Neha Reddy,6,42
42,Reyansh Gupta,5,49
7,Sai Saxena,7,52
30,Sai Rao,5,26
58,Rohan Kulkarni,1,40
85,Karan Kulkarni,6,39
71,Nisha Gupta,6,36
94,Vihaan Gupta,7,57
59,Neha Joshi,1,55
13,Kavya Gupta,6,55
81,Isha Nair,1,34
10,Pooja Chatterjee,3,41
98,Neha Singh,8,45
48,Krishna Gupta,8,37
